Payment_Method;Issue_Date;Fulfillment_Date;Due_Date;Payment_Date;Net_Amount_HUF;Tax_Amount_HUF;Gross_Amount_HUF;Outstanding_Amount_HUF;Status;Invoice_ID;Destination;Days_Overdue;;;
átutalás;2025.08.28;2025.10.07;2025.09.02;2025.08.28;285006.52;11513.48;296520.0;0.0;Sikeres;INV_1038;Platamon;-5;;;
átutalás;2025.09.04;2025.10.07;2025.09.07;2025.09.04;260.0;0.0;260.0;0.0;Sikeres;INV_1039;Platamon;-3;;;
átutalás;2025.09.04;2025.10.07;2025.09.07;2025.09.04;-260.0;0.0;-260.0;0.0;Sikeres;INV_1040;Platamon;-3;;;
átutalás;2025.09.04;2025.09.04;2025.09.07;2025.09.09;63094.4;0.0;63094.4;0.0;Sikeres;INV_1041;Neoi Pori;2;;;
átutalás;2025.08.12;2025.09.03;2025.08.15;2025.08.12;163166.45;11433.55;174600.0;0.0;Sikeres;INV_1042;Neoi Pori;-3;;;
készpénz;2025.02.17;2025.08.10;2025.02.17;2025.02.17;107122.2;637.8;107760.0;0.0;Sikeres;INV_1043;Neoi Pori;0;;;
átutalás;2025.06.24;2025.08.12;2025.07.03;2025.06.25;158640.0;0.0;158640.0;0.0;Sikeres;INV_1044;Platamon;-8;;;
készpénz;2025.06.19;2025.08.04;2025.06.19;2025.06.19;171515.59;11684.41;183200.0;0.0;Sikeres;INV_1045;Platamon;0;;;
átutalás;2025.03.27;2025.06.11;2025.03.30;2025.03.27;60669.04;4450.96;65120.0;0.0;Sikeres;INV_1046;Platamon;-3;;;
átutalás;2025.04.25;2025.06.11;2025.04.30;2025.04.25;88641.35;6038.65;94680.0;0.0;Sikeres;INV_1047;Platamon;-5;;;
átutalás;2025.06.23;2025.08.03;2025.06.25;2025.06.19;201071.0;0.0;201071.0;0.0;Sikeres;INV_1048;Neoi Pori;-6;;;
átutalás;2025.03.11;2025.09.09;2025.03.14;2025.03.18;309389.61;850.39;310240.0;0.0;Sikeres;INV_1049;Neoi Pori;4;;;
átutalás;2025.07.23;2025.09.09;2025.08.02;2025.07.29;453360.0;0.0;453360.0;0.0;Sikeres;INV_1050;Platamon;-4;;;
átutalás;2025.08.06;2025.09.17;2025.08.09;2025.08.03;104538.38;7121.62;111660.0;0.0;Sikeres;INV_1051;Neoi Pori;-6;;;
készpénz;2025.01.16;2025.07.17;2025.01.16;2025.01.16;174100.4;jún.99;180000.0;0.0;Sikeres;INV_1052;Platamon;0;;;
átutalás;2025.05.21;2025.07.17;2025.06.06;2025.06.11;685313.39;46686.61;732000.0;0.0;Sikeres;INV_1053;Neoi Pori;5;;;
átutalás;2025.02.05;2025.03.03;2025.02.08;2025.02.18;21020.08;2529.92;23550.0;0.0;Sikeres;INV_1054;Neoi Pori;10;;;
készpénz;2025.07.22;2025.09.24;2025.07.22;2025.07.22;37300.0;2700.0;40000.0;0.0;Sikeres;INV_1055;Platamon;0;;;
készpénz;2025.07.31;2025.09.24;2025.07.31;2025.07.31;55096.57;3753.43;58850.0;0.0;Sikeres;INV_1056;Platamon;0;;;
átutalás;2025.06.02;2025.09.27;2025.06.05;2025.06.02;14454.8;425.2;14880.0;0.0;Sikeres;INV_1057;Neoi Pori;-3;;;
átutalás;2025.08.25;2025.09.27;2025.08.28;2025.08.25;19320.0;0.0;19320.0;0.0;Sikeres;INV_1058;Neoi Pori;-3;;;
átutalás;2025.01.15;2025.08.12;2025.01.18;2025.01.17;140744.61;850.39;141595.0;0.0;Sikeres;INV_1059;Neoi Pori;-1;;;
átutalás;2025.03.05;2025.08.12;2025.01.18;;-140744.61;-850.39;-141595.0;-141595.0;Sikeres;INV_1060;Neoi Pori;0;;;
átutalás;2025.05.21;2025.07.17;2025.06.06;2025.05.26;275248.82;18751.18;294000.0;0.0;Sikeres;INV_1061;Neoi Pori;-11;;;
készpénz;2025.01.09;2025.06.20;2025.01.09;2025.01.09;145484.41;4515.59;150000.0;0.0;Sikeres;INV_1062;Neoi Pori;0;;;
készpénz;2025.04.03;2025.06.20;2025.04.03;2025.04.03;199667.74;13602.26;213270.0;0.0;Sikeres;INV_1063;Platamon;0;;;
átutalás;2025.06.17;2025.08.22;2025.06.20;2025.06.17;195108.35;13291.65;208400.0;0.0;Sikeres;INV_1064;Platamon;-3;;;
átutalás;2025.04.09;2025.06.11;2025.04.12;2025.04.14;148990.13;10149.87;159140.0;0.0;Sikeres;INV_1065;Platamon;2;;;
átutalás;2025.02.06;2025.08.30;2025.02.09;2025.02.06;80657.34;5812.66;86470.0;0.0;Sikeres;INV_1066;Neoi Pori;-3;;;
átutalás;2025.07.18;2025.08.30;2025.07.21;2025.07.21;118628.5;máj.81;126710.0;0.0;Sikeres;INV_1067;Platamon;0;;;
készpénz;2025.02.05;2025.08.22;2025.02.05;2025.02.05;83962.2;aug.37;90000.0;0.0;Sikeres;INV_1068;Platamon;0;;;
átutalás;2025.01.24;2025.10.07;2025.01.27;2025.01.27;185859.46;12820.54;198680.0;0.0;Sikeres;INV_1069;Platamon;0;;;
átutalás;2025.01.27;2025.10.07;2025.01.27;2025.01.27;-185859.46;-12820.54;-198680.0;0.0;Sikeres;INV_1070;Neoi Pori;0;;;
átutalás;2025.01.27;2025.10.07;2025.01.27;2025.01.27;185859.46;12820.54;198680.0;0.0;Sikeres;INV_1071;Platamon;0;;;
átutalás;2025.03.05;2025.10.07;2025.01.27;;-185859.46;-12820.54;-198680.0;-198680.0;Sikeres;INV_1072;Platamon;0;;;
Pénzügyileg rendezve;2025.03.05;2025.03.05;2025.03.05;2025.04.17;787.4;212.6;1000.0;0.0;Sikeres;INV_1073;Platamon;43;;;
átutalás;2025.05.27;2025.07.25;2025.06.10;2025.07.08;285409.74;19920.26;305330.0;0.0;Sikeres;INV_1074;Platamon;28;;;
átutalás;2025.05.07;2025.07.22;2025.05.10;2025.05.07;61954.8;425.2;62380.0;0.0;Sikeres;INV_1075;Neoi Pori;-3;;;
átutalás;2025.06.05;2025.07.22;2025.06.15;2025.06.10;90570.0;0.0;90570.0;0.0;Sikeres;INV_1076;Platamon;-5;;;
átutalás;2025.01.23;2025.08.04;2025.01.26;2025.01.24;80843.61;5666.39;86510.0;0.0;Sikeres;INV_1077;Platamon;-2;;;
átutalás;2025.06.23;2025.08.04;2025.06.26;2025.06.26;120089.0;8181.0;128270.0;0.0;Sikeres;INV_1078;Neoi Pori;0;;;
készpénz;2025.05.14;2025.10.03;2025.05.14;2025.05.14;186648.82;13351.18;200000.0;0.0;Sikeres;INV_1079;Platamon;0;;;
átutalás;2025.07.21;2025.09.03;2025.07.25;2025.07.24;240983.15;16416.85;257400.0;0.0;Sikeres;INV_1080;Neoi Pori;-1;;;
készpénz;2025.07.24;2025.09.03;2025.07.24;2025.07.24;250345.35;17054.65;267400.0;0.0;Sikeres;INV_1081;Neoi Pori;0;;;
átutalás;2025.07.24;2025.09.03;2025.07.25;2025.07.24;-240983.15;-16416.85;-257400.0;0.0;Sikeres;INV_1082;Platamon;-1;;;
átutalás;2025.03.05;2025.06.04;2025.03.08;2025.03.07;58122.52;4277.48;62400.0;0.0;Sikeres;INV_1083;Platamon;-1;;;
átutalás;2025.04.09;2025.06.04;2025.04.26;2025.05.06;87630.24;5969.76;93600.0;0.0;Sikeres;INV_1084;Platamon;10;;;
Bankkártya;2025.02.19;2025.07.23;2025.02.19;2025.02.19;115382.74;8337.26;123720.0;0.0;Sikeres;INV_1085;Neoi Pori;0;;;
Bankkártya;2025.02.27;2025.07.23;2025.02.19;2025.02.27;-115382.74;-8337.26;-123720.0;0.0;Sikeres;INV_1086;Platamon;8;;;
Bankkártya;2025.02.27;2025.07.16;2025.02.19;2025.02.27;115233.92;aug.86;123720.0;0.0;Sikeres;INV_1087;Platamon;8;;;
átutalás;2025.06.03;2025.07.16;2025.06.07;2025.06.11;233081.45;15878.55;248960.0;0.0;Sikeres;INV_1088;Platamon;4;;;
Bankkártya;2025.02.04;2025.07.16;2025.02.04;2025.02.04;93175.59;6824.41;100000.0;0.0;Sikeres;INV_1089;Platamon;0;;;
Bankkártya;2025.04.29;2025.07.16;2025.04.29;2025.04.29;138335.94;jún.24;147760.0;0.0;Sikeres;INV_1090;Neoi Pori;0;;;
átutalás;2025.04.14;2025.07.09;2025.04.17;2025.04.16;66997.89;nov.82;71880.0;0.0;Sikeres;INV_1091;Neoi Pori;-1;;;
átutalás;2025.05.09;2025.07.09;2025.05.30;2025.05.20;98134.63;6685.37;104820.0;0.0;Sikeres;INV_1092;Platamon;-10;;;
átutalás;2025.05.13;2025.09.16;2025.05.16;2025.05.16;93324.41;6675.59;100000.0;0.0;Sikeres;INV_1093;Platamon;0;;;
átutalás;2025.07.24;2025.09.16;2025.08.06;2025.08.07;123712.17;8427.83;132140.0;0.0;Sikeres;INV_1094;Neoi Pori;1;;;
átutalás;2025.04.14;2025.06.02;2025.04.17;2025.04.14;149497.63;10502.37;160000.0;0.0;Sikeres;INV_1095;Neoi Pori;-3;;;
átutalás;2025.05.08;2025.09.10;2025.05.11;2025.04.25;245364.66;16715.34;262080.0;0.0;Sikeres;INV_1096;Platamon;-16;;;
átutalás;2025.07.23;2025.09.10;2025.08.01;2025.08.22;187656.0;0.0;187656.0;0.0;Sikeres;INV_1097;Neoi Pori;21;;;
átutalás;2025.08.22;2025.09.10;2025.08.01;2025.08.22;-187656.0;0.0;-187656.0;0.0;Sikeres;INV_1098;Neoi Pori;21;;;
átutalás;2025.04.30;2025.08.20;2025.05.04;2025.05.14;85450.39;4549.61;90000.0;0.0;Sikeres;INV_1099;Platamon;10;;;
átutalás;2025.07.03;2025.08.20;2025.07.11;2025.09.24;108788.82;7411.18;116200.0;0.0;Sikeres;INV_1100;Platamon;75;;;
átutalás;2025.05.27;2025.07.09;2025.05.30;2025.05.29;195372.44;13627.56;209000.0;0.0;Sikeres;INV_1101;Neoi Pori;-1;;;
átutalás;2025.06.02;2025.09.29;2025.06.05;2025.06.04;24442.2;637.8;25080.0;0.0;Sikeres;INV_1102;Neoi Pori;-1;;;
átutalás;2025.08.25;2025.09.29;2025.08.28;2025.08.29;33120.0;0.0;33120.0;0.0;Sikeres;INV_1103;Neoi Pori;1;;;
átutalás;2025.05.08;2025.08.20;2025.05.11;2025.05.08;262818.74;18381.26;281200.0;0.0;Sikeres;INV_1104;Neoi Pori;-3;;;
átutalás;2025.03.13;2025.06.17;2025.03.16;2025.03.18;36150.8;425.2;36576.0;0.0;Sikeres;INV_1105;Neoi Pori;2;;;
átutalás;2025.04.28;2025.06.17;2025.05.10;;54264.0;0.0;54264.0;-1.0;Sikeres;INV_1106;Platamon;0;;;
átutalás;2025.05.16;2025.07.30;2025.05.21;2025.05.20;192751.02;13448.98;206200.0;0.0;Sikeres;INV_1107;Neoi Pori;-1;;;
átutalás;2025.02.03;2025.06.25;2025.02.06;2025.02.05;59526.85;4373.15;63900.0;0.0;Sikeres;INV_1108;Platamon;-1;;;
átutalás;2025.04.28;2025.06.25;2025.04.28;2025.04.28;86928.07;5921.93;92850.0;0.0;Sikeres;INV_1109;Platamon;0;;;
átutalás;2025.07.31;2025.08.13;2025.08.01;2025.07.31;233757.48;16242.52;250000.0;0.0;Sikeres;INV_1110;Neoi Pori;-1;;;
átutalás;2025.03.12;2025.04.22;2025.03.15;2025.03.26;121708.66;8291.34;130000.0;0.0;Sikeres;INV_1111;Neoi Pori;11;;;
átutalás;2025.04.02;2025.08.27;2025.04.05;2025.04.02;100065.19;7134.81;107200.0;0.0;Sikeres;INV_1112;Platamon;-3;;;
átutalás;2025.07.11;2025.08.27;2025.07.18;2025.07.14;150544.25;10255.75;160800.0;0.0;Sikeres;INV_1113;Neoi Pori;-4;;;
átutalás;2025.07.21;2025.09.09;2025.07.26;2025.07.22;187530.0;0.0;187530.0;0.0;Sikeres;INV_1114;Platamon;-4;;;
átutalás;2025.05.28;2025.06.10;2025.05.30;2025.06.11;300000.0;0.0;300000.0;0.0;Sikeres;INV_1115;Platamon;12;;;
átutalás;2025.06.11;2025.06.10;2025.05.30;2025.06.11;-300000.0;0.0;-300000.0;0.0;Sikeres;INV_1116;Platamon;12;;;
átutalás;2025.03.24;2025.06.25;2025.03.27;2025.03.27;80427.08;5796.92;86224.0;0.0;Sikeres;INV_1117;Neoi Pori;0;;;
átutalás;2025.03.31;2025.06.25;2025.04.05;2025.04.06;46811.02;3188.98;50000.0;0.0;Sikeres;INV_1118;Platamon;1;;;
átutalás;2025.03.31;2025.06.25;2025.05.05;2025.05.02;74275.94;jún.60;79336.0;0.0;Sikeres;INV_1119;Platamon;-3;;;
átutalás;2025.01.29;2025.08.20;2025.02.01;2025.02.17;218692.02;15851.98;234544.0;0.0;Sikeres;INV_1120;Neoi Pori;16;;;
átutalás;2025.05.30;2025.08.20;2025.02.01;;-218692.02;-15851.98;-234544.0;-234544.0;Sikeres;INV_1121;Neoi Pori;0;;;
átutalás;2025.05.30;2025.08.20;2025.06.02;2025.05.30;4724.41;1275.59;6000.0;0.0;Sikeres;INV_1122;Platamon;-3;;;
átutalás;2025.03.24;2025.04.22;2025.03.27;2025.03.27;205670.86;14329.14;220000.0;0.0;Sikeres;INV_1123;Platamon;0;;;
átutalás;2025.07.22;2025.09.08;2025.07.28;2025.07.30;151926.07;10349.93;162276.0;0.0;Sikeres;INV_1124;Neoi Pori;2;;;
átutalás;2025.02.03;2025.09.07;2025.02.06;2025.02.05;92214.8;425.2;92640.0;0.0;Sikeres;INV_1125;Neoi Pori;-1;;;
átutalás;2025.05.13;2025.09.07;2025.02.06;;-92214.8;-425.2;-92640.0;-92640.0;Sikeres;INV_1126;Neoi Pori;0;;;
átutalás;2025.05.13;2025.05.13;2025.05.13;2025.05.13;168775;637.8;3000.0;0.0;Sikeres;INV_1127;Neoi Pori;0;;;
átutalás;2025.05.13;2025.05.13;2025.05.13;2025.05.13;-2362.2;-637.8;-3000.0;0.0;Sikeres;INV_1128;Neoi Pori;0;;;
átutalás;2025.05.13;2025.05.13;2025.05.13;2025.05.13;1574.8;425.2;2000.0;0.0;Sikeres;INV_1129;Neoi Pori;0;;;
átutalás;2025.05.20;2025.08.05;2025.05.23;2025.05.20;76049.8;425.2;76475.0;0.0;Sikeres;INV_1130;Platamon;-3;;;
átutalás;2025.06.23;2025.08.05;2025.06.29;2025.06.29;111720.0;0.0;111720.0;0.0;Sikeres;INV_1131;Platamon;0;;;
átutalás;2025.06.20;2025.08.06;2025.06.28;2025.06.23;364339.56;24820.44;389160.0;0.0;Sikeres;INV_1132;Platamon;-5;;;
átutalás;2025.03.12;2025.06.11;2025.03.15;2025.03.12;201836.17;13908.83;215745.0;0.0;Sikeres;INV_1133;Neoi Pori;-3;;;
átutalás;2025.04.11;2025.07.02;2025.04.14;2025.04.11;67859.21;4940.79;72800.0;0.0;Sikeres;INV_1134;Platamon;-3;;;
átutalás;2025.05.08;2025.07.02;2025.05.23;2025.05.20;102235.28;6964.72;109200.0;0.0;Sikeres;INV_1135;Platamon;-3;;;
átutalás;2025.01.29;2025.09.17;2025.02.01;2025.02.02;154623.34;10851.66;165475.0;0.0;Sikeres;INV_1136;Neoi Pori;1;;;
átutalás;2025.04.07;2025.07.16;2025.04.10;2025.04.08;93324.41;6675.59;100000.0;0.0;Sikeres;INV_1137;Platamon;-2;;;
átutalás;2025.06.03;2025.06.16;2025.06.07;2025.06.03;137624.41;9375.59;147000.0;0.0;Sikeres;INV_1138;Neoi Pori;-4;;;
átutalás;2025.02.10;2025.06.19;2025.02.13;2025.02.10;134369.01;1062.99;135432.0;0.0;Sikeres;INV_1139;Neoi Pori;-3;;;
átutalás;2025.04.29;2025.06.19;2025.05.10;2025.05.07;203148.0;0.0;203148.0;0.0;Sikeres;INV_1140;Neoi Pori;-3;;;
átutalás;2025.05.30;2025.06.19;2025.05.30;;183748.0;0.0;183748.0;183748.0;Sikeres;INV_1141;Platamon;0;;;
átutalás;2025.07.01;2025.08.01;2025.07.04;2025.07.01;206774.8;425.2;207200.0;0.0;Sikeres;INV_1142;Neoi Pori;-3;;;
átutalás;2025.07.01;2025.08.01;2025.07.04;2025.07.01;-206774.8;-425.2;-207200.0;0.0;Sikeres;INV_1143;Platamon;-3;;;
átutalás;2025.03.03;2025.07.15;2025.03.06;2025.03.05;70902.8;425.2;71328.0;0.0;Sikeres;INV_1144;Neoi Pori;-1;;;
átutalás;2025.06.03;2025.06.15;2025.06.08;2025.06.04;106992.0;0.0;106992.0;0.0;Sikeres;INV_1145;Platamon;-4;;;
átutalás;2025.01.24;2025.10.07;2025.01.27;2025.01.26;185859.46;12820.54;198680.0;0.0;Sikeres;INV_1146;Neoi Pori;-1;;;
átutalás;2025.08.27;2025.10.07;2025.09.02;2025.08.14;285006.52;11513.48;296520.0;0.0;Sikeres;INV_1147;Platamon;-19;;;
átutalás;2025.09.04;2025.09.07;2025.09.07;2025.09.04;102528.4;0.0;102528.4;0.0;Sikeres;INV_1148;Neoi Pori;-3;;;
átutalás;2025.01.08;2025.07.16;2025.01.11;2025.01.09;99161.03;3198.97;102360.0;0.0;Sikeres;INV_1149;Platamon;-2;;;
átutalás;2025.06.03;2025.07.16;2025.06.07;2025.06.05;140929.27;9600.73;150530.0;0.0;Sikeres;INV_1150;Neoi Pori;-2;;;
készpénz;2025.01.08;2025.09.17;2025.01.08;2025.01.08;77419.05;2580.95;80000.0;0.0;Sikeres;INV_1151;Neoi Pori;0;;;
átutalás;2025.07.22;2025.09.17;2025.07.25;2025.07.22;94090.16;6409.84;100500.0;0.0;Sikeres;INV_1152;Platamon;-3;;;
átutalás;2025.06.23;2025.08.03;2025.06.25;2025.06.23;564561.0;0.0;564561.0;0.0;Sikeres;INV_1153;Neoi Pori;-2;;;
átutalás;2025.01.27;2025.06.18;2025.01.30;2025.02.03;62017.19;4542.81;66560.0;0.0;Sikeres;INV_1154;Platamon;4;;;
átutalás;2025.04.28;2025.06.18;2025.05.09;2025.04.29;90663.59;6176.41;96840.0;0.0;Sikeres;INV_1155;Platamon;-10;;;
készpénz;2025.07.16;2025.08.20;2025.07.16;2025.07.16;139535.27;9664.73;149200.0;0.0;Sikeres;INV_1156;Platamon;0;;;
készpénz;2025.07.01;2025.09.10;2025.07.01;2025.07.01;124330.08;8469.92;132800.0;0.0;Sikeres;INV_1157;Neoi Pori;0;;;
átutalás;2025.02.28;2025.08.06;2025.03.03;2025.03.02;179098.98;12201.02;191300.0;0.0;Sikeres;INV_1158;Neoi Pori;-1;;;
átutalás;2025.06.06;2025.07.26;2025.06.15;2025.06.11;223850.31;15249.69;239100.0;0.0;Sikeres;INV_1159;Platamon;-4;;;
átutalás;2025.04.15;2025.07.07;2025.04.18;2025.04.16;91854.8;425.2;92280.0;0.0;Sikeres;INV_1160;Platamon;-2;;;
átutalás;2025.05.08;2025.07.07;2025.05.28;2025.05.26;135420.0;0.0;135420.0;0.0;Sikeres;INV_1161;Platamon;-2;;;
átutalás;2025.02.20;2025.09.24;2025.02.23;2025.02.20;153663.82;10786.18;164450.0;0.0;Sikeres;INV_1162;Neoi Pori;-3;;;
átutalás;2025.07.14;2025.09.24;2025.07.17;2025.07.28;228128.84;15541.16;243670.0;0.0;Sikeres;INV_1163;Neoi Pori;11;;;
átutalás;2025.05.21;2025.07.16;2025.05.24;2025.05.26;317306.77;22093.23;339400.0;0.0;Sikeres;INV_1164;Neoi Pori;2;;;
átutalás;2025.01.21;2025.07.08;2025.01.24;2025.01.23;83967.2;637.8;84605.0;0.0;Sikeres;INV_1165;Neoi Pori;-1;;;
átutalás;2025.05.08;2025.07.08;2025.06.01;2025.05.18;122410.0;0.0;122410.0;0.0;Sikeres;INV_1166;Neoi Pori;-14;;;
átutalás;2025.03.12;2025.04.22;2025.03.15;2025.03.12;176758.43;12041.57;188800.0;0.0;Sikeres;INV_1167;Neoi Pori;-3;;;
átutalás;2025.02.21;2025.10.27;2025.02.24;2025.02.27;134760.0;0.0;134760.0;0.0;Sikeres;INV_1168;Platamon;3;;;
átutalás;2025.02.03;2025.08.05;2025.02.06;2025.02.05;467311.02;3188.98;470500.0;0.0;Sikeres;INV_1169;Platamon;-1;;;
átutalás;2025.06.23;2025.08.05;2025.06.29;2025.06.24;683240.0;0.0;683240.0;0.0;Sikeres;INV_1170;Neoi Pori;-5;;;
átutalás;2025.03.12;2025.03.12;2025.03.13;2025.03.12;1035433.64;0.0;1035433.64;0.0;Sikeres;INV_1171;Neoi Pori;-1;;;
átutalás;2025.06.26;2025.08.12;2025.07.05;2025.07.01;1552246.08;0.0;1552246.08;0.0;Sikeres;INV_1172;Platamon;-4;;;
átutalás;2025.03.05;2025.08.20;2025.03.08;2025.03.06;78045.29;5634.71;83680.0;0.0;Sikeres;INV_1173;Neoi Pori;-2;;;
átutalás;2025.05.30;2025.08.20;2025.03.08;;-78045.29;-5634.71;-83680.0;-83680.0;Sikeres;INV_1174;Platamon;0;;;
átutalás;2025.05.30;2025.08.20;2025.06.02;2025.05.30;1574.8;425.2;2000.0;0.0;Sikeres;INV_1175;Platamon;-3;;;
átutalás;2025.09.24;2025.09.24;2025.09.27;2025.09.24;217610.99;jan.71;225782.0;0.0;Sikeres;INV_1176;Platamon;-3;;;
átutalás;2025.08.05;2025.10.01;2025.08.08;2025.08.05;158859.84;11140.16;170000.0;0.0;Sikeres;INV_1177;Platamon;-3;;;
átutalás;2025.08.05;2025.10.01;2025.08.08;2025.08.05;-158859.84;-11140.16;-170000.0;0.0;Sikeres;INV_1178;Neoi Pori;-3;;;
átutalás;2025.08.05;2025.10.01;2025.08.08;2025.08.06;63365.35;4634.65;68000.0;0.0;Sikeres;INV_1179;Platamon;-2;;;
átutalás;2025.08.06;2025.10.01;2025.08.09;2025.08.06;87536.61;5963.39;93500.0;0.0;Sikeres;INV_1180;Neoi Pori;-3;;;
